"","fix","mut","k","correlation","p_value","t","conf_int_level","conf_int_lower","conf_int_upper"
"1",0,0.001,3,-0.157571403346736,0.279564601164183,-1.09392081664931,0.95,-0.420151681144259,0.129356792994506
"2",0,0.001,5,0.1640845266994,0.259913003140106,1.14036299834096,0.95,-0.122776990322805,0.42564198734186
"3",0,0.001,10,0.256996083484415,0.0746504901779516,1.82311019676291,0.95,-0.0260856162735802,0.501920659335693
"4",0,0.01,3,0.390155742807173,0.00558238564623994,2.90499730918285,0.95,0.122386204287207,0.60497972306677
"5",0,0.01,5,0.344735643190628,0.015277823696958,2.51772554860977,0.95,0.0703596117948568,0.570617438364842
"6",0,0.01,10,0.383186410408409,0.00657477141379635,2.84407931725946,0.95,0.114306423055198,0.599758582754428
"7",0,0.1,3,0.781950861276372,3.28860304006233e-11,8.60009684024744,0.95,0.641895481668434,0.871516690399776
"8",0,0.1,5,0.655266797372156,3.23829546710686e-07,5.94691228327035,0.95,0.458564806301808,0.79075907562873
"9",0,0.1,10,0.835120982685637,8.66107510299447e-14,10.4083833409569,0.95,0.723926305424242,0.904022985786464
